rank,artist_name,playcount,artist_url,artist_mbid
211,Little Richard,39,https://www.last.fm/music/Little+Richard,95c2339b-8277-49a6-9aaf-08d8eeeaa0be
212,Tahiti 80,39,https://www.last.fm/music/Tahiti+80,cbdbfa40-a839-4fa2-a5e1-dbd6e84fe1fd
213,Björk,38,https://www.last.fm/music/Bj%C3%B6rk,87c5dedd-371d-4a53-9f7f-80522fb7f3cb
214,Dream Theater,38,https://www.last.fm/music/Dream+Theater,28503ab7-8bf2-4666-a7bd-2644bfc7cb1d
215,Miles Kane,38,https://www.last.fm/music/Miles+Kane,26afaedd-e99c-45b2-b7f9-6c4c2b33d90c
216,Barricada,37,https://www.last.fm/music/Barricada,8fe43356-6902-4311-a80c-f221bfcf3efb
217,Kings of Leon,37,https://www.last.fm/music/Kings+of+Leon,6ffb8ea9-2370-44d8-b678-e9237bbd347b
218,Richard Ashcroft,37,https://www.last.fm/music/Richard+Ashcroft,2d1d8985-47bc-4244-8cc3-577584e411f6
219,Alice in Chains,36,https://www.last.fm/music/Alice+in+Chains,4bd95eea-b9f6-4d70-a36c-cfea77431553
220,Public Image Ltd.,36,https://www.last.fm/music/Public+Image+Ltd.,
221,The Pretenders,36,https://www.last.fm/music/The+Pretenders,75ffaf7d-46ee-4794-a405-9ec20c0c1696
222,The Vines,36,https://www.last.fm/music/The+Vines,
223,Joe Satriani,35,https://www.last.fm/music/Joe+Satriani,29762c82-bb92-4acd-b1fb-09cc4da250d2
224,Kasabian,35,https://www.last.fm/music/Kasabian,69b39eab-6577-46a4-a9f5-817839092033
225,Patti Smith,35,https://www.last.fm/music/Patti+Smith,d135874d-9cae-4fef-97e3-36acbd9f5a26
226,Sigur Rós,35,https://www.last.fm/music/Sigur+R%C3%B3s,f6f2326f-6b25-4170-b89d-e235b25508e8
227,Van Morrison,35,https://www.last.fm/music/Van+Morrison,a41ac10f-0a56-4672-9161-b83f9b223559
228,Édith Piaf,34,https://www.last.fm/music/%C3%89dith+Piaf,4f8ef4a3-40fa-46b5-8773-97686a8424f4
229,Estopa,34,https://www.last.fm/music/Estopa,49fc7e46-5441-4b7e-996a-12dddf22a632
230,Hamlet,34,https://www.last.fm/music/Hamlet,7c42a72d-5838-4397-b751-70b007585b73
231,Inspiral Carpets,34,https://www.last.fm/music/Inspiral+Carpets,03c2e506-e8bb-4bd6-9693-5aa97c8eea1c
232,Kaiser Chiefs,34,https://www.last.fm/music/Kaiser+Chiefs,90218af4-4d58-4821-8d41-2ee295ebbe21
233,Los Piratas,34,https://www.last.fm/music/Los+Piratas,e1283576-51be-498c-ae30-b0c1506e4bd8
234,Righeira,34,https://www.last.fm/music/Righeira,3e2f3190-45a4-480a-8ab5-61308c002fb2
235,Café Quijano,33,https://www.last.fm/music/Caf%C3%A9+Quijano,227f3e04-feb2-4741-b73f-70e266d32bf0
236,El Último de la Fila,33,https://www.last.fm/music/El+%C3%9Altimo+de+la+Fila,a8b6eecf-1bad-465e-a806-4179c4e436e6
237,La Polla Records,33,https://www.last.fm/music/La+Polla+Records,cd3f2331-160b-4ed3-9f2d-f0c54fcc1c63
238,Robbie Williams,33,https://www.last.fm/music/Robbie+Williams,db4624cf-0e44-481e-a9dc-2142b833ec2f
239,Tool,33,https://www.last.fm/music/Tool,66fc5bf8-daa4-4241-b378-9bc9077939d2
240,Alice Cooper,32,https://www.last.fm/music/Alice+Cooper,ee58c59f-8e7f-4430-b8ca-236c4d3745ae
241,Foals,32,https://www.last.fm/music/Foals,6a65d878-fcd0-42cf-aff9-ca1d636a8bcc
242,Foo Fighters,32,https://www.last.fm/music/Foo+Fighters,67f66c07-6e61-4026-ade5-7e782fad3a5d
243,New York Dolls,32,https://www.last.fm/music/New+York+Dolls,1b96b9c9-0832-40cb-9f8d-7274de3733fc
244,Pantera,32,https://www.last.fm/music/Pantera,541f16f5-ad7a-428e-af89-9fa1b16d3c9c
245,Roxy Music,32,https://www.last.fm/music/Roxy+Music,331ce348-1b08-40b9-8ed7-0763b92bd003
246,Billy Idol,31,https://www.last.fm/music/Billy+Idol,47c8f88b-987a-4b64-9175-2b1b57809727
247,Decibelios,31,https://www.last.fm/music/Decibelios,067e7276-7267-4051-9585-f4158ae7ab3f
248,Dirty Pretty Things,31,https://www.last.fm/music/Dirty+Pretty+Things,648615ca-ca74-460d-928a-2bae67ae6d14
249,Jane's Addiction,31,https://www.last.fm/music/Jane%27s+Addiction,e3434cc7-d348-491a-9dc8-325af3d9086d
250,Jeff Buckley,31,https://www.last.fm/music/Jeff+Buckley,e6e879c0-3d56-4f12-b3c5-3ce459661a8e
